feature,min,q25,q50,q75,max,zero_ratio,n_unique
days_without_rain,0.0,0.0,0.0,3.0,111.0,0.5910335386721424,112
et0,0.61,3.44,4.14,4.79,7.14,0.0,587
heatwave_consecutive_days,0.0,0.0,0.0,0.0,28.0,0.9759753593429158,29
lst,-123.14852014,29.0366502105041,32.782243925174896,35.55967315025624,44.13319687911084,0.0,10600
moisture_deficit,-152.91,-4.44,1.95,4.39,7.14,0.0006160164271047228,4049
precipitation,0.0,0.1,2.05,8.0,154.2,0.24558521560574947,422
radiation,2.54,16.67,19.75,21.9775,27.22,0.0,1939
salinity_psu,0.5,3.24,11.024999999999999,20.63,30.92,0.0,2793
salinity_tendency,-2.1757142857142835,-0.2714285714285722,0.0,0.27999999999999997,2.0442857142857145,0.0969883641341547,6617
soil_moisture_deep,0.1237083333333333,0.23688541666666657,0.35093749999999996,0.407375,0.5147916666666666,0.0,6384
soil_moisture_surface,0.0974999999999999,0.220625,0.3628958333333333,0.4099062499999999,0.5144583333333334,0.0,6820
soil_temp,22.85833333333333,27.22083333333333,28.14583333333333,29.21666666666667,34.65833333333333,0.0,2057
temp_max,23.5,29.2,30.2,31.4,37.0,0.0,129
temp_mean,21.7,26.3,27.0,27.7,30.9,0.0,90
temp_min,18.5,24.1,24.9,25.6,29.0,0.0,98
wind_max,5.1,12.7,15.9,19.8,43.3,0.0,323
